iter	Passed	Remaining
938	3118	2194
939	3121	2191
940	3124	2188
941	3127	2184
942	3131	2181
943	3134	2178
944	3137	2174
945	3141	2171
946	3144	2168
947	3148	2165
948	3151	2161
949	3154	2158
950	3157	2154
951	3161	2151
952	3163	2148
953	3167	2144
954	3170	2141
955	3173	2137
956	3176	2134
957	3180	2131
958	3183	2127
959	3186	2124
960	3189	2121
961	3192	2117
962	3196	2114
963	3199	2110
964	3202	2107
965	3205	2104
966	3209	2100
967	3212	2097
968	3215	2094
969	3219	2090
970	3222	2087
971	3225	2084
972	3229	2081
973	3232	2077
974	3235	2074
975	3239	2070
976	3242	2067
977	3245	2064
978	3249	2060
979	3252	2057
980	3255	2054
981	3258	2050
982	3262	2047
983	3265	2044
984	3268	2040
985	3271	2037
986	3275	2034
987	3278	2031
988	3281	2027
989	3285	2024
990	3288	2020
991	3291	2017
992	3295	2014
993	3298	2010
994	3301	2007
995	3305	2004
996	3308	2000
997	3311	1997
998	3315	1994
999	3318	1991
1000	3321	1987
1001	3325	1984
1002	3328	1981
1003	3331	1977
1004	3334	1974
1005	3338	1971
1006	3341	1967
1007	3344	1964
1008	3347	1960
1009	3351	1957
1010	3354	1954
1011	3358	1951
1012	3361	1947
1013	3364	1944
1014	3368	1941
1015	3371	1937
1016	3374	1934
1017	3378	1931
1018	3381	1927
1019	3384	1924
1020	3387	1921
1021	3390	1917
1022	3394	1914
1023	3397	1911
1024	3401	1907
1025	3404	1904
1026	3407	1901
1027	3411	1897
1028	3414	1894
1029	3417	1891
1030	3420	1887
1031	3424	1884
1032	3427	1881
1033	3430	1877
1034	3434	1874
1035	3437	1871
1036	3440	1868
1037	3444	1864
1038	3447	1861
1039	3451	1858
1040	3454	1855
1041	3458	1851
1042	3460	1848
1043	3464	1844
1044	3467	1841
1045	3470	1838
1046	3473	1834
1047	3477	1831
1048	3480	1828
1049	3483	1824
1050	3487	1821
1051	3490	1818
1052	3494	1815
1053	3497	1811
1054	3500	1808
1055	3504	1805
1056	3507	1802
1057	3511	1798
1058	3514	1795
1059	3518	1792
1060	3521	1788
1061	3524	1785
1062	3528	1782
1063	3531	1779
1064	3535	1775
1065	3538	1772
1066	3542	1769
1067	3545	1766
1068	3548	1762
1069	3552	1759
1070	3555	1756
1071	3559	1753
1072	3562	1749
1073	3565	1746
1074	3569	1743
1075	3572	1739
1076	3575	1736
1077	3579	1733
1078	3582	1729
1079	3586	1726
1080	3589	1723
1081	3592	1720
1082	3596	1716
1083	3599	1713
1084	3602	1710
1085	3606	1706
1086	3609	1703
1087	3612	1699
1088	3615	1696
1089	3619	1693
1090	3622	1689
1091	3625	1686
1092	3628	1683
1093	3632	1679
1094	3635	1676
1095	3638	1673
1096	3641	1669
1097	3644	1666
1098	3647	1662
1099	3650	1659
1100	3654	1656
1101	3657	1652
1102	3660	1649
1103	3663	1646
1104	3667	1642
1105	3670	1639
1106	3673	1636
1107	3677	1632
1108	3680	1629
1109	3683	1626
1110	3686	1622
1111	3690	1619
1112	3693	1616
1113	3696	1612
1114	3700	1609
1115	3703	1606
1116	3706	1602
1117	3710	1599
1118	3713	1596
1119	3716	1592
1120	3719	1589
1121	3723	1586
1122	3726	1582
1123	3729	1579
1124	3733	1576
1125	3736	1572
1126	3739	1569
1127	3742	1566
1128	3746	1562
1129	3749	1559
1130	3752	1556
1131	3756	1552
1132	3759	1549
1133	3762	1546
1134	3765	1542
1135	3769	1539
1136	3772	1536
1137	3776	1532
1138	3779	1529
1139	3782	1526
1140	3786	1523
1141	3789	1519
1142	3792	1516
1143	3796	1513
1144	3799	1509
1145	3802	1506
1146	3806	1503
1147	3809	1499
1148	3813	1496
1149	3816	1493
1150	3819	1490
1151	3823	1486
1152	3826	1483
1153	3829	1480
1154	3833	1476
1155	3836	1473
1156	3840	1470
1157	3843	1466
1158	3846	1463
1159	3849	1460
1160	3853	1456
1161	3856	1453
1162	3859	1450
1163	3863	1447
1164	3866	1443
1165	3869	1440
1166	3873	1437
1167	3876	1433
1168	3879	1430
1169	3883	1427
1170	3886	1423
1171	3889	1420
1172	3892	1417
1173	3895	1413
1174	3899	1410
1175	3902	1407
1176	3906	1403
1177	3910	1400
1178	3913	1397
1179	3917	1394
1180	3920	1390
1181	3923	1387
1182	3927	1384
1183	3930	1381
1184	3934	1377
1185	3937	1374
1186	3941	1371
1187	3944	1368
1188	3947	1364
1189	3951	1361
1190	3954	1358
